NumCom,Combinacion,TP,TN,FP,FN
1,1000000000000000,9,334,49,49
2,0100000000000000,32,357,26,26
3,1100000000000000,21,346,37,37
4,0010000000000000,30,355,28,28
5,1010000000000000,20,345,38,38
6,0110000000000000,32,357,26,26
7,1110000000000000,22,347,36,36
8,0001000000000000,7,332,51,51
9,1001000000000000,12,337,46,46
10,0101000000000000,19,344,39,39
11,1101000000000000,17,342,41,41
12,0011000000000000,20,345,38,38
13,1011000000000000,17,342,41,41
14,0111000000000000,23,348,35,35
15,1111000000000000,19,344,39,39
16,0000100000000000,29,354,29,29
17,1000100000000000,27,352,31,31
18,0100100000000000,30,355,28,28
19,1100100000000000,30,355,28,28
20,0010100000000000,31,356,27,27
21,1010100000000000,29,354,29,29
22,0110100000000000,34,359,24,24
23,1110100000000000,29,354,29,29
24,0001100000000000,28,353,30,30
25,1001100000000000,26,351,32,32
26,0101100000000000,28,353,30,30
27,1101100000000000,29,354,29,29
28,0011100000000000,28,353,30,30
29,1011100000000000,28,353,30,30
30,0111100000000000,28,353,30,30
31,1111100000000000,27,352,31,31
32,0000010000000000,18,343,40,40
33,1000010000000000,16,341,42,42
34,0100010000000000,20,345,38,38
35,1100010000000000,19,344,39,39
36,0010010000000000,22,347,36,36
37,1010010000000000,18,343,40,40
38,0110010000000000,26,351,32,32
39,1110010000000000,22,347,36,36
40,0001010000000000,11,336,47,47
41,1001010000000000,13,338,45,45
42,0101010000000000,17,342,41,41
43,1101010000000000,18,343,40,40
44,0011010000000000,18,343,40,40
45,1011010000000000,18,343,40,40
46,0111010000000000,20,345,38,38
47,1111010000000000,18,343,40,40
48,0000110000000000,28,353,30,30
49,1000110000000000,27,352,31,31
50,0100110000000000,29,354,29,29
51,1100110000000000,28,353,30,30
52,0010110000000000,29,354,29,29
53,1010110000000000,27,352,31,31
54,0110110000000000,29,354,29,29
55,1110110000000000,28,353,30,30
56,0001110000000000,26,351,32,32
57,1001110000000000,26,351,32,32
58,0101110000000000,26,351,32,32
59,1101110000000000,27,352,31,31
60,0011110000000000,26,351,32,32
61,1011110000000000,28,353,30,30
62,0111110000000000,26,351,32,32
63,1111110000000000,28,353,30,30
64,0000001000000000,25,350,33,33
65,1000001000000000,27,352,31,31
66,0100001000000000,27,352,31,31
67,1100001000000000,30,355,28,28
68,0010001000000000,27,352,31,31
69,1010001000000000,30,355,28,28
70,0110001000000000,29,354,29,29
71,1110001000000000,30,355,28,28
72,0001001000000000,25,350,33,33
73,1001001000000000,27,352,31,31
74,0101001000000000,25,350,33,33
75,1101001000000000,27,352,31,31
76,0011001000000000,25,350,33,33
77,1011001000000000,26,351,32,32
78,0111001000000000,27,352,31,31
79,1111001000000000,27,352,31,31
80,0000101000000000,29,354,29,29
81,1000101000000000,34,359,24,24
82,0100101000000000,30,355,28,28
83,1100101000000000,33,358,25,25
84,0010101000000000,30,355,28,28
85,1010101000000000,33,358,25,25
86,0110101000000000,30,355,28,28
87,1110101000000000,33,358,25,25
88,0001101000000000,27,352,31,31
89,1001101000000000,32,357,26,26
90,0101101000000000,29,354,29,29
91,1101101000000000,32,357,26,26
92,0011101000000000,29,354,29,29
93,1011101000000000,32,357,26,26
94,0111101000000000,30,355,28,28
95,1111101000000000,31,356,27,27
96,0000011000000000,26,351,32,32
97,1000011000000000,27,352,31,31
98,0100011000000000,26,351,32,32
99,1100011000000000,29,354,29,29
100,0010011000000000,26,351,32,32
101,1010011000000000,29,354,29,29
102,0110011000000000,29,354,29,29
103,1110011000000000,29,354,29,29
104,0001011000000000,24,349,34,34
105,1001011000000000,29,354,29,29
106,0101011000000000,26,351,32,32
107,1101011000000000,28,353,30,30
108,0011011000000000,26,351,32,32
109,1011011000000000,27,352,31,31
110,0111011000000000,26,351,32,32
111,1111011000000000,27,352,31,31
112,0000111000000000,30,355,28,28
113,1000111000000000,32,357,26,26
114,0100111000000000,29,354,29,29
115,1100111000000000,33,358,25,25
116,0010111000000000,30,355,28,28
117,1010111000000000,31,356,27,27
118,0110111000000000,31,356,27,27
119,1110111000000000,32,357,26,26
120,0001111000000000,29,354,29,29
121,1001111000000000,30,355,28,28
122,0101111000000000,29,354,29,29
123,1101111000000000,29,354,29,29
124,0011111000000000,29,354,29,29
125,1011111000000000,28,353,30,30
126,0111111000000000,29,354,29,29
127,1111111000000000,29,354,29,29
128,0000000100000000,23,348,35,35
129,1000000100000000,23,348,35,35
130,0100000100000000,25,350,33,33
131,1100000100000000,26,351,32,32
132,0010000100000000,25,350,33,33
133,1010000100000000,26,351,32,32
134,0110000100000000,25,350,33,33
135,1110000100000000,28,353,30,30
136,0001000100000000,17,342,41,41
137,1001000100000000,22,347,36,36
138,0101000100000000,19,344,39,39
139,1101000100000000,24,349,34,34
140,0011000100000000,20,345,38,38
141,1011000100000000,23,348,35,35
142,0111000100000000,23,348,35,35
143,1111000100000000,26,351,32,32
144,0000100100000000,29,354,29,29
145,1000100100000000,28,353,30,30
146,0100100100000000,29,354,29,29
147,1100100100000000,29,354,29,29
148,0010100100000000,28,353,30,30
149,1010100100000000,29,354,29,29
150,0110100100000000,29,354,29,29
151,1110100100000000,31,356,27,27
152,0001100100000000,26,351,32,32
153,1001100100000000,27,352,31,31
154,0101100100000000,26,351,32,32
155,1101100100000000,27,352,31,31
156,0011100100000000,26,351,32,32
157,1011100100000000,28,353,30,30
158,0111100100000000,27,352,31,31
159,1111100100000000,29,354,29,29
160,0000010100000000,20,345,38,38
161,1000010100000000,23,348,35,35
162,0100010100000000,23,348,35,35
163,1100010100000000,26,351,32,32
164,0010010100000000,23,348,35,35
165,1010010100000000,25,350,33,33
166,0110010100000000,22,347,36,36
167,1110010100000000,25,350,33,33
168,0001010100000000,18,343,40,40
169,1001010100000000,22,347,36,36
170,0101010100000000,21,346,37,37
171,1101010100000000,23,348,35,35
172,0011010100000000,22,347,36,36
173,1011010100000000,22,347,36,36
174,0111010100000000,22,347,36,36
175,1111010100000000,24,349,34,34
176,0000110100000000,27,352,31,31
177,1000110100000000,28,353,30,30
178,0100110100000000,28,353,30,30
179,1100110100000000,28,353,30,30
180,0010110100000000,28,353,30,30
181,1010110100000000,28,353,30,30
182,0110110100000000,28,353,30,30
183,1110110100000000,29,354,29,29
184,0001110100000000,25,350,33,33
185,1001110100000000,28,353,30,30
186,0101110100000000,25,350,33,33
187,1101110100000000,28,353,30,30
188,0011110100000000,25,350,33,33
189,1011110100000000,28,353,30,30
190,0111110100000000,26,351,32,32
191,1111110100000000,28,353,30,30
192,0000001100000000,28,353,30,30
193,1000001100000000,28,353,30,30
194,0100001100000000,28,353,30,30
