NumCom,Combinacion,TP,TN,FP,FN
1,1000000000000000,1,325,57,58
2,0100000000000000,0,324,58,59
3,1100000000000000,1,325,57,58
4,0010000000000000,30,354,28,29
5,1010000000000000,1,325,57,58
6,0110000000000000,30,354,28,29
7,1110000000000000,1,325,57,58
8,0001000000000000,7,331,51,52
9,1001000000000000,1,325,57,58
10,0101000000000000,7,331,51,52
11,1101000000000000,1,325,57,58
12,0011000000000000,27,351,31,32
13,1011000000000000,1,325,57,58
14,0111000000000000,27,351,31,32
15,1111000000000000,1,325,57,58
16,0000100000000000,29,353,29,30
17,1000100000000000,1,325,57,58
18,0100100000000000,29,353,29,30
19,1100100000000000,1,325,57,58
20,0010100000000000,30,354,28,29
21,1010100000000000,1,325,57,58
22,0110100000000000,30,354,28,29
23,1110100000000000,1,325,57,58
24,0001100000000000,18,342,40,41
25,1001100000000000,1,325,57,58
26,0101100000000000,18,342,40,41
27,1101100000000000,1,325,57,58
28,0011100000000000,28,352,30,31
29,1011100000000000,1,325,57,58
30,0111100000000000,28,352,30,31
31,1111100000000000,1,325,57,58
32,0000010000000000,18,342,40,41
33,1000010000000000,1,325,57,58
34,0100010000000000,18,342,40,41
35,1100010000000000,1,325,57,58
36,0010010000000000,28,352,30,31
37,1010010000000000,1,325,57,58
38,0110010000000000,28,352,30,31
39,1110010000000000,1,325,57,58
40,0001010000000000,11,335,47,48
41,1001010000000000,1,325,57,58
42,0101010000000000,11,335,47,48
43,1101010000000000,1,325,57,58
44,0011010000000000,26,350,32,33
45,1011010000000000,1,325,57,58
46,0111010000000000,26,350,32,33
47,1111010000000000,1,325,57,58
48,0000110000000000,24,348,34,35
49,1000110000000000,1,325,57,58
50,0100110000000000,24,348,34,35
51,1100110000000000,1,325,57,58
52,0010110000000000,26,350,32,33
53,1010110000000000,1,325,57,58
54,0110110000000000,26,350,32,33
55,1110110000000000,1,325,57,58
56,0001110000000000,18,342,40,41
57,1001110000000000,1,325,57,58
58,0101110000000000,18,342,40,41
59,1101110000000000,1,325,57,58
60,0011110000000000,27,351,31,32
61,1011110000000000,1,325,57,58
62,0111110000000000,27,351,31,32
63,1111110000000000,1,325,57,58
64,0000001000000000,25,349,33,34
65,1000001000000000,2,326,56,57
66,0100001000000000,25,349,33,34
67,1100001000000000,2,326,56,57
68,0010001000000000,31,355,27,28
69,1010001000000000,1,325,57,58
70,0110001000000000,31,355,27,28
71,1110001000000000,1,325,57,58
72,0001001000000000,20,344,38,39
73,1001001000000000,1,325,57,58
74,0101001000000000,20,344,38,39
75,1101001000000000,1,325,57,58
76,0011001000000000,28,352,30,31
77,1011001000000000,1,325,57,58
78,0111001000000000,28,352,30,31
79,1111001000000000,1,325,57,58
80,0000101000000000,27,351,31,32
81,1000101000000000,2,326,56,57
82,0100101000000000,27,351,31,32
83,1100101000000000,2,326,56,57
84,0010101000000000,30,354,28,29
85,1010101000000000,1,325,57,58
86,0110101000000000,30,354,28,29
87,1110101000000000,1,325,57,58
88,0001101000000000,24,348,34,35
89,1001101000000000,1,325,57,58
90,0101101000000000,24,348,34,35
91,1101101000000000,1,325,57,58
92,0011101000000000,28,352,30,31
